config,config_tag,implementation,activation,mean_time_s,std_time_s,runs,parameters,layers
Small,small,vectorized,relu,0.0002656418830156326,4.0781514944818e-05,5,8922,"[32, 16]"
Small,small,vectorized,sigmoid,0.0005663918331265449,0.00028913388156508066,5,8922,"[32, 16]"
Small,small,non_vectorized,relu,1.6739886168390512,0.046306967469649345,5,8922,"[32, 16]"
Small,small,non_vectorized,sigmoid,1.7343481834977865,0.006360350004082205,5,8922,"[32, 16]"
Medium,medium,vectorized,relu,0.000693416502326727,0.0001766703102850438,5,43930,"[128, 64, 32, 16]"
Medium,medium,vectorized,sigmoid,0.0016508333384990693,7.001122509027249e-05,5,43930,"[128, 64, 32, 16]"
Medium,medium,non_vectorized,relu,8.429584916681051,0.11221901699128133,5,43930,"[128, 64, 32, 16]"
Medium,medium,non_vectorized,sigmoid,8.436961200367659,0.03653776702208783,5,43930,"[128, 64, 32, 16]"
Large,large,vectorized,relu,0.0018447167240083218,4.669077817444495e-05,5,149770,"[128, 128, 128, 128, 128, 128, 128, 128]"
Large,large,vectorized,sigmoid,0.005102158430963755,4.998258349341048e-05,5,149770,"[128, 128, 128, 128, 128, 128, 128, 128]"
Large,large,non_vectorized,relu,29.224243841599673,0.024421952258933982,5,149770,"[128, 128, 128, 128, 128, 128, 128, 128]"
Large,large,non_vectorized,sigmoid,29.256792933493852,0.06421722649812157,5,149770,"[128, 128, 128, 128, 128, 128, 128, 128]"
Extreme,extreme,vectorized,relu,0.004621883574873209,0.00036022463855829996,5,394362,"[512, 256, 256, 128, 128, 64, 64, 32, 32, 16]"
Extreme,extreme,vectorized,sigmoid,0.010685300081968307,0.00013825132389068623,5,394362,"[512, 256, 256, 128, 128, 64, 64, 32, 32, 16]"
Extreme,extreme,non_vectorized,relu,77.71441638348624,0.2507822427652389,5,394362,"[512, 256, 256, 128, 128, 64, 64, 32, 32, 16]"
Extreme,extreme,non_vectorized,sigmoid,77.68621432520449,0.23781549451995343,5,394362,"[512, 256, 256, 128, 128, 64, 64, 32, 32, 16]"
